event_ts,market_key,action,state_from,state_to,p1_price,p2_price,pnl_estimate,reason_code,simulated_latency_ms,simulated_fill_ratio,simulated_slippage_bps,simulated_cancelled,simulated_hedge_fail
2026-03-26T04:24:29Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.16076,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:30Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.165094,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:31Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.158449,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:32Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.154852,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:33Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.163638,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:34Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.154154,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:35Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.15933,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:36Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.153893,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:37Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.14967,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:38Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.151196,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:39Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.14921,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:40Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.148982,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:41Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.155701,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:42Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.168307,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:43Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.178,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:44Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.176414,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:45Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.18234,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:46Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.176819,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:47Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.168086,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:48Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.168418,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:49Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.165745,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:50Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.155754,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:51Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.149972,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:52Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.152784,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:53Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.140552,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:54Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.150141,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:55Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.144902,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:56Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.133004,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:57Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.136263,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:58Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.144306,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:59Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.151525,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:25:00Z,SOL5M_20260326T043000Z,open_leg1,IDLE,LEG1_OPEN,0.132765,,0.0,leg1_opened,,,,False,False
2026-03-26T04:25:01Z,SOL5M_20260326T043000Z,try_open_leg2,LEG1_OPEN,LEG1_OPEN,0.132765,0.87807484,0.0,below_target_profit,165,0.64939672,14.642459,False,False
2026-03-26T04:25:02Z,SOL5M_20260326T043000Z,timeout_leg2,LEG1_OPEN,LEG1_OPEN,0.132765,0.88543911,0.0,leg2_not_found_timeout,53,1.0,14.602857,False,False
2026-03-26T04:25:02Z,SOL5M_20260326T043000Z,timeout_leg2,LEG1_OPEN,UNWIND,0.132765,0.88543911,0.0,unwind_on_timeout,53,1.0,14.602857,False,False
2026-03-26T04:25:02Z,SOL5M_20260326T043000Z,close_position,UNWIND,CLOSED,0.132765,0.88543911,-0.0223176289,unwind_on_timeout,53,1.0,14.602857,False,False
2026-03-26T04:25:03Z,SOL5M_20260326T043000Z,open_leg1,IDLE,LEG1_OPEN,0.135795,,0.0,leg1_opened,,,,False,False
2026-03-26T04:25:04Z,SOL5M_20260326T043000Z,try_open_leg2,LEG1_OPEN,LEG1_OPEN,0.135795,0.88448376,0.0,below_target_profit,234,1.0,14.297159,False,False
2026-03-26T04:25:04Z,SOL5M_20260326T043000Z,unwind_on_loss,LEG1_OPEN,UNWIND,0.135795,0.88448376,0.0,unwind_on_loss_limit,234,1.0,14.297159,False,False
2026-03-26T04:25:04Z,SOL5M_20260326T043000Z,close_position,UNWIND,CLOSED,0.135795,0.88448376,-0.0913803896,unwind_on_loss_limit,234,1.0,14.297159,False,False
