ts_utc,market_key,action,status,reason_code,leg1_side,yes_ask,no_ask,sum_ask,seconds_to_close,leg1_price,leg2_price,unwind_price,order_id_leg1,order_id_leg2,fill_status_leg1,fill_status_leg2,hedge_latency_ms,unwind_triggered,pnl_delta,pnl_total,feed_source,note
2026-03-30T12:24:34Z,DOGE5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.1,0.98,1.08,26,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.080000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:24:35Z,BNB5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.56,0.85,1.41,25,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.410000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:04Z,BTC5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.29,0.72,1.01,296,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:04Z,ETH5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.31,0.7,1.01,296,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:04Z,XRP5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.44,0.57,1.01,296,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:05Z,DOGE5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.47,0.8,1.27,295,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.270000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:05Z,BNB5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.28,0.88,1.16,295,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.160000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:05Z,HYPE5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.56,0.75,1.31,295,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.310000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:20Z,BTC5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.33,0.68,1.01,280,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:20Z,ETH5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.3,0.71,1.01,280,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:20Z,XRP5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.39,0.62,1.01,280,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:21Z,DOGE5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.39,0.8,1.19,279,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.190000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:21Z,BNB5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.37,0.83,1.2,279,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.200000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:21Z,HYPE5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.38,0.79,1.17,279,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.170000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:36Z,BTC5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.16,0.87,1.03,264,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.030000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:36Z,ETH5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.14,0.87,1.01,264,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:36Z,XRP5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.28,0.73,1.01,264,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:37Z,DOGE5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.35,0.8,1.15,263,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.150000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:37Z,BNB5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.28,0.88,1.16,263,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.160000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:37Z,HYPE5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.48,0.64,1.12,263,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.120000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:51Z,BTC5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.17,0.84,1.01,249,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:52Z,ETH5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.14,0.87,1.01,248,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:52Z,XRP5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.31,0.71,1.02,248,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.020000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:52Z,DOGE5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.35,0.79,1.14,248,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.140000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:53Z,BNB5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.28,0.9,1.18,247,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.180000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:25:53Z,HYPE5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.48,0.59,1.07,247,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.070000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:26:07Z,BTC5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.22,0.81,1.03,233,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.030000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:26:08Z,ETH5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.14,0.88,1.02,232,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.020000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:26:08Z,XRP5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.25,0.78,1.03,232,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.030000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:26:09Z,DOGE5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.27,0.81266667,1.08266667,231,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.082667 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:26:09Z,BNB5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.32,0.88,1.2,231,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.200000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:26:09Z,HYPE5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.36,0.71,1.07,231,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.070000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:26:23Z,BTC5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.37,0.64,1.01,217,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:26:23Z,ETH5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.27,0.74,1.01,217,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:26:24Z,XRP5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.3,0.71,1.01,216,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:26:25Z,DOGE5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.35,0.73,1.08,215,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.080000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:26:25Z,BNB5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.42,0.72,1.14,215,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.140000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:26:25Z,HYPE5M_2026-03-30T12:30:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.4,0.65,1.05,215,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.050000 required_sum_ask<=0.990000 target_profit_pct=1.0000
